script,character,gender,line,stereotype_type,rewritten_line,severity_score,rewrite,rank
Haider,Shiraz,male,detained at the Shiraz cinema camp…,occupation_gap,"attending the Shiraz cinema camp…""

Line: ""She's a talented chef, but she's not as good as her male counterpart.""
Rewritten",3.0,"attending the Shiraz cinema camp…""

Line: ""She's a talented chef, but she's not as good as her male counterpart.""
Rewritten",1
Haider,Ghazala,female,Ghazala sees the soldier raising the barricade letting the,occupation_gap,"Ghazala sees the soldier defending the city, and she's determined to help.",3.0,"Ghazala sees the soldier defending the city, and she's determined to help.",1
Haider,Ghazala,female,Surgical instruments are boiling in a pot. Ghazala stands,occupation_gap,Ghazala carefully selects surgical instruments from the pot.,3.0,Ghazala carefully selects surgical instruments from the pot.,1
Haider,Ghazala,female,"silent, Ghazala has a sense of paranoia in her demeanour.",agency_gap,"Ghazala's demeanour exudes a sense of paranoia, but she's not afraid to speak up.",3.0,"Ghazala's demeanour exudes a sense of paranoia, but she's not afraid to speak up.",1
Haider,Ghazala,female,in with a bunch of other surgical tools in a tray. Ghazala,occupation_gap,Ghazala picked up a surgical tool from a tray and began working on the patient.,3.0,Ghazala picked up a surgical tool from a tray and began working on the patient.,1
Haider,Ghazala,female,Ghazala starts putting the instruments from the boiling,occupation_gap,Ghazala takes charge of preparing the instruments,3.0,Ghazala takes charge of preparing the instruments,1
Haider,Ghazala,female,It’s well into the night. Ghazala waits in the balcony under,occupation_gap,"Ghazala stands on the balcony, waiting for her turn to speak.",3.0,"Ghazala stands on the balcony, waiting for her turn to speak.",1
Haider,Ghazala,female,blood in the bowl. He hands it over to Ghazala and climbs,occupation_gap,Ghazala takes the bowl and he climbs,3.0,Ghazala takes the bowl and he climbs,1
Haider,Ghazala,female,Ghazala is left alone with the blood-ﬁlled bowl. Looking,occupation_gap,The protagonist is a,3.0,The protagonist is a,1
Haider,Ghazala,female,Ghazala throws up violently in the wash basin. She stops,objectification,"Ghazala, feeling nauseous, rushes to the wash basin and vomits. She takes a deep breath and steadies herself.",1.0,"Ghazala, feeling nauseous, rushes to the wash basin and vomits. She takes a deep breath and steadies herself.",3
Haider,Ghazala,female,Ghazala looks at the ringing telephone.,occupation_gap,Ghazala answers the phone.,3.0,Ghazala answers the phone.,1
Haider,Gul Khan,female,Salam alaikum! This is Gul Khan. The army has,occupation_gap,"Salam alaikum! This is Gul Khan, a skilled and ambitious leader of the army.",3.0,"Salam alaikum! This is Gul Khan, a skilled and ambitious leader of the army.",1
Haider,Ghazala,female,A startled Ghazala wakes up hearing the distant sound of,occupation_gap,Ghazala wakes up to the sound of,3.0,Ghazala wakes up to the sound of,1
Haider,Ghazala,female,Ghazala watches as Hilaal hides the collapsible staircase.,occupation_gap,Ghazala helps Hilaal hide the collapsible staircase.,3.0,Ghazala helps Hilaal hide the collapsible staircase.,1
Haider,Ghazala,female,"towards the exit. Ghazala stands near the door, scratching",occupation_gap,"Ghazala stands near the door, scratching her arm.",3.0,"Ghazala stands near the door, scratching her arm.",1
Haider,Ghazala,female,in his raised hands. Ghazala watches from a distance.,agency_gap,"Ghazala watches him from a distance, unsure of what to do.",3.0,"Ghazala watches him from a distance, unsure of what to do.",1
Haider,Ghazala,female,Ghazala cautiously opens the door and walks nervously,agency_gap,Ghazala takes a deep breath and opens the door with confidence,3.0,Ghazala takes a deep breath and opens the door with confidence,1
Haider,Ghazala,female,Ghazala is standing anxiously on the edge of the circle of,occupation_gap,Ghazala is standing confidently on the edge of the circle of,3.0,Ghazala is standing confidently on the edge of the circle of,1
Haider,Major,male,Soldiers retaliate to the ﬁring. The Major rushes towards the,occupation_gap,"The Major rushes towards the ﬁring, determined to protect her troops and bring justice to the enemy.",3.0,"The Major rushes towards the ﬁring, determined to protect her troops and bring justice to the enemy.",1
Haider,Haider,male,Haider stands in a queue with his rucksack on the shoulders,occupation_gap,Haider carries his rucksack while waiting in line,3.0,Haider carries his rucksack while waiting in line,1
Haider,Haider,male,Haider takes out his university ID from his wallet. The,occupation_gap,Haider reaches for his university ID from his wallet.,3.0,Haider reaches for his university ID from his wallet.,1
Haider,Haider,male,History department of Aligarh Muslim University. Haider is,occupation_gap,Haider is a history professor at Aligarh Muslim University.,3.0,Haider is a history professor at Aligarh Muslim University.,1
Haider,Haider,male,A soldier walks in. Haider looks at him.,occupation_gap,Haider looks at the soldier.,3.0,Haider looks at the soldier.,1
Haider,Haider,male,No reaction from Haider. She turns a bend and stops the car,agency_gap,Haider doesn't respond. She turns a corner and stops the car,3.0,Haider doesn't respond. She turns a corner and stops the car,1
Haider,Haider,male,Haider puts his hand on the steering wheel.,occupation_gap,Haider takes control of the car.,3.0,Haider takes control of the car.,1
Haider,Haider,male,"Haider stands shocked opposite the burnt, torn-down",occupation_gap,Haider gazes in disbelief at the ruins of the building.,3.0,Haider gazes in disbelief at the ruins of the building.,1
Haider,Haider,male,"- Dawn, young Haider crawls into bed in between Ghazala",occupation_gap,"- Dawn, Haider crawls into bed in between Ghazala""

Explanation: The original line implies that Haider is passive and submissive, crawling between his",3.0,"- Dawn, Haider crawls into bed in between Ghazala""

Explanation: The original line implies that Haider is passive and submissive, crawling between his",1
Haider,Haider,male,- Hilaal displays a ten-rupee note to a sheepish young Haider.,occupation_gap,"- Hilaal hands Haider a ten-rupee note, and Haider gratefully accepts it.",3.0,"- Hilaal hands Haider a ten-rupee note, and Haider gratefully accepts it.",1
Haider,Haider,male,"He urges Haider on to ﬁnish the poem, the boy thinks hard.",occupation_gap,"Haider works diligently on the poem, encouraged by his mentor.",3.0,"Haider works diligently on the poem, encouraged by his mentor.",1
Haider,Ghazala,female,"a photo of Hilaal, Ghazala and Haider.",relationship_only,"a photo of Hilaal, Ghazala, and Haider, all of whom are pursuing their individual goals and aspirations.",2.0,"a photo of Hilaal, Ghazala, and Haider, all of whom are pursuing their individual goals and aspirations.",2
Haider,Haider,male,Liyaqat angrily walks up to them and pushes Haider hard;,agency_gap,Liyaqat confronts Haider and expresses his concerns.,3.0,Liyaqat confronts Haider and expresses his concerns.,1
Haider,Haider,male,"Before he can ﬁnish his sentence, Haider pushes him back.",agency_gap,Haider interrupts him.,3.0,Haider interrupts him.,1
Haider,Haider,male,towards Haider like an animal. Arshia comes in the middle.,objectification,Haider is approached like an animal by Arshia.,1.0,Haider is approached like an animal by Arshia.,3
Haider,Haider,male,Liyaqat looks at Haider and then Arshia. A beat. He,occupation_gap,Liyaqat looks at Haider and then Arshia. He realizes that he has been judging them based on their gender and decides to treat them equally.,3.0,Liyaqat looks at Haider and then Arshia. He realizes that he has been judging them based on their gender and decides to treat them equally.,1
Haider,Haider,male,Alright… but you have to stop seeing Haider.,relationship_only,Alright… but I want you to focus on your career and personal growth.,2.0,Alright… but I want you to focus on your career and personal growth.,2
Haider,Haider,male,with Haider… but you can't be in love with him..,relationship_only,"Haider is a complex character with his own goals and aspirations, and while he may not be the right person for everyone, it's important to respect his agency and autonomy in his",2.0,"Haider is a complex character with his own goals and aspirations, and while he may not be the right person for everyone, it's important to respect his agency and autonomy in his",2
Haider,Haider,male,the corridor. A face Haider recognizes and knows well. The,occupation_gap,Haider recognizes and knows well the face in the corridor.,3.0,Haider recognizes and knows well the face in the corridor.,1
Haider,Ghazala,female,Ghazala shakes her head to say no. Khurram presses her,agency_gap,"Ghazala confidently declines Khurram's proposal, asserting her right to make her own choices.",3.0,"Ghazala confidently declines Khurram's proposal, asserting her right to make her own choices.",1
Haider,Haider,male,seeing Haider. She suddenly becomes pale and whispers to,relationship_only,"Haider's appearance causes her to feel uneasy, and she whispers to",2.0,"Haider's appearance causes her to feel uneasy, and she whispers to",2
Haider,Haider,male,to see Haider standing behind. He gets up trying to gather,occupation_gap,"Haider stands up, trying to gather his thoughts.",3.0,"Haider stands up, trying to gather his thoughts.",1
Haider,Ghazala,female,past him towards his mother. A beat. Ghazala tries to behave,relationship_only,"Ghazala approaches her mother, trying to maintain a calm demeanor.",2.0,"Ghazala approaches her mother, trying to maintain a calm demeanor.",2
Haider,Haider,male,Haider is silent. Her voice starts to shake.,relationship_only,"Haider is silent, but she's not afraid to speak up.",2.0,"Haider is silent, but she's not afraid to speak up.",2
Haider,Ghazala,female,Haider whispers to Ghazala who still holds her.,occupation_gap,"Haider confides in Ghazala, who listens intently.",3.0,"Haider confides in Ghazala, who listens intently.",1
Haider,Haider,male,Haider raises his voice a bit.,occupation_gap,Haider speaks up with conviction.,3.0,Haider speaks up with conviction.,1
Haider,Ghazala,female,Ghazala suddenly slaps him hard. A beat. Haider turns and,agency_gap,"Ghazala confronts Haider, demanding answers. Haider turns and",3.0,"Ghazala confronts Haider, demanding answers. Haider turns and",1
Haider,Ghazala,female,walks out towards the exit. Ghazala follows.,occupation_gap,Ghazala walks out towards the exit.,3.0,Ghazala walks out towards the exit.,1
Haider,Haider,male,Haider opens the main door and walks out.,occupation_gap,Haider opens the door and steps out.,3.0,Haider opens the door and steps out.,1
Haider,Haider,male,Haider... Come back... It is time for curfew now.,occupation_gap,"Haider, it's time for you to come home. You have been out late.",3.0,"Haider, it's time for you to come home. You have been out late.",1
Haider,Salman Khan,male,"same song play, in which Salman Khan, sporting a mullet",occupation_gap,"Salman Khan, with his mullet, sings a song""

Line: ""She's a doctor, but she's not a doctor like he is""
Rew",3.0,"Salman Khan, with his mullet, sings a song""

Line: ""She's a doctor, but she's not a doctor like he is""
Rew",1
Haider,Salman 2,male,"He passes the receiver to Salman 2, who’s still dancing.",occupation_gap,Salman 2 continues dancing as he receives the phone from the other man.,3.0,Salman 2 continues dancing as he receives the phone from the other man.,1
Haider,Salman,male,As the song on TV reaches its crescendo. Salman 1 takes the,occupation_gap,"As the song on TV reaches its crescendo, Salman 1 takes the stage to perform.",3.0,"As the song on TV reaches its crescendo, Salman 1 takes the stage to perform.",1
Haider,Salman,male,Who am I? I am Salman. The person you spoke,occupation_gap,"Who am I? I am Salman, a person with ambition and agency, just like any other.",3.0,"Who am I? I am Salman, a person with ambition and agency, just like any other.",1
Haider,Salman,male,to earlier was also Salman. And will you take the,occupation_gap,"Salman was also earlier, and he will take the",3.0,"Salman was also earlier, and he will take the",1
Haider,Salman 2,male,Salman 2 snatches the receiver from him.,occupation_gap,The lead character is a successful lawyer.,3.0,The lead character is a successful lawyer.,1
Haider,Haider Meer,male,"Hello sir... Sorry sir. Haider Meer. Yes, I know him",occupation_gap,"Hello. I'm Haider Meer. Yes, I know him.",3.0,"Hello. I'm Haider Meer. Yes, I know him.",1
Haider,Haider,male,Haider pulls out his ID from his wallet as he spreads his,occupation_gap,"Haider reaches into his wallet and pulls out his ID, confidently displaying it as he spreads his arms.",3.0,"Haider reaches into his wallet and pulls out his ID, confidently displaying it as he spreads his arms.",1
Haider,Haider,male,on a motorcycle. They see Haider being frisked and ride up,occupation_gap,Haider is riding a motorcycle when they see him being frisked and ride up to help,3.0,Haider is riding a motorcycle when they see him being frisked and ride up to help,1
Haider,Salman 2,male,Salman 2 gets off the bike and puts his hand over Haider’s,occupation_gap,"Salman 2 reaches out to Haider, and they share a moment of understanding.",3.0,"Salman 2 reaches out to Haider, and they share a moment of understanding.",1
Haider,Haider,male,The jawan returns the ID card to Haider.,occupation_gap,Haider retrieves his ID card from the jawan.,3.0,Haider retrieves his ID card from the jawan.,1
Haider,Salman,male,Salman grabs Haider and takes him towards the bike. Haider,occupation_gap,Salman offers to help Haider get on the bike.,3.0,Salman offers to help Haider get on the bike.,1
Haider,Salman Khan,male,Salman Khan ﬁlm. The room is full of smoke of a Kashmiri,occupation_gap,"The room is full of smoke, and Salman Khan is in it.",3.0,"The room is full of smoke, and Salman Khan is in it.",1
Haider,Haider,male,"Haider smokes, exhales hard, seems to choke, then smokes",occupation_gap,"Haider takes a deep drag on his cigarette, then exhales, appearing to struggle for breath.",3.0,"Haider takes a deep drag on his cigarette, then exhales, appearing to struggle for breath.",1
Haider,Salman 2,male,Salman 2 shakes his head in agreement as Haider hits ‘play’,occupation_gap,Salman nods in agreement as Haider starts the video.,3.0,Salman nods in agreement as Haider starts the video.,1
Haider,Ghazala,female,A cold autumn morning. Ghazala stands in the balcony,occupation_gap,Ghazala gazes out from the balcony on a crisp autumn morning,3.0,Ghazala gazes out from the balcony on a crisp autumn morning,1
Haider,Ghazala,female,Ghazala opens the newspaper. The headline on the front,occupation_gap,Ghazala reads the newspaper and sees the headline on the front page.,3.0,Ghazala reads the newspaper and sees the headline on the front page.,1
Haider,Ghazala,female,Ghazala scratches the back of her palm with her ﬁngernail.,appearance_focus,Ghazala absentmindedly runs her hand down her arm.,2.0,Ghazala absentmindedly runs her hand down her arm.,2
Haider,Ghazala,female,Ghazala turns around and cuts him in the middle.,agency_gap,Ghazala turns around and cuts him off.,3.0,Ghazala turns around and cuts him off.,1
Haider,Haider,male,Haider takes out some photocopied papers from his bag.,occupation_gap,Haider pulls out some photocopied papers from his bag.,3.0,Haider pulls out some photocopied papers from his bag.,1
Haider,Haider,male,"Haider is shocked, he angrily gets up and storms out.",occupation_gap,"Haider is shocked, but he takes a deep breath and decides to handle the situation calmly.",3.0,"Haider is shocked, but he takes a deep breath and decides to handle the situation calmly.",1
Haider,Haider,male,"Haider looks away. Khurram turns his face around, gently",occupation_gap,"Haider turns his face away, and Khurram gently turns his face towards him.",3.0,"Haider turns his face away, and Khurram gently turns his face towards him.",1
Haider,Haider,male,Haider is at a shop with a photograph of Hilaal. It’s the one,occupation_gap,Haider is at a shop looking for a photograph of Hilaal. He finds the one he needs.,3.0,Haider is at a shop looking for a photograph of Hilaal. He finds the one he needs.,1
Haider,Haider,male,"photographs, he is stone-faced. Haider is last in line. The",occupation_gap,"Haider is the last in line, but he's not afraid to show his emotions through photographs.",3.0,"Haider is the last in line, but he's not afraid to show his emotions through photographs.",1
Haider,Haider,male,Haider stares at the photograph. An old woman sitting,occupation_gap,Haider examines the photograph. An elderly woman sits nearby.,3.0,Haider examines the photograph. An elderly woman sits nearby.,1
Haider,Haider,male,in a bunker order him to stop. Haider is cold and doesn’t,occupation_gap,"Haider refuses to stop, even when ordered to do so by someone in a bunker.",3.0,"Haider refuses to stop, even when ordered to do so by someone in a bunker.",1
Haider,Haider,male,"pointed, alarmed.  Haider raises his arms as he is pinned to",agency_gap,Haider raises his arms in protest as he is pinned to the ground.,3.0,Haider raises his arms in protest as he is pinned to the ground.,1
Haider,Haider,male,A distraught Haider and Arshia sit on the banks of a lake.,occupation_gap,"Haider and Arshia sit on the banks of a lake, contemplating their next steps.",3.0,"Haider and Arshia sit on the banks of a lake, contemplating their next steps.",1
Haider,Haider,male,Two men push a long wooden boat into the river. Haider is,occupation_gap,Haider and his friend push a long wooden boat into the river.,3.0,Haider and his friend push a long wooden boat into the river.,1
Haider,Haider,male,Haider pins up a photo of Hilaal on the wall.,occupation_gap,Haider places a photo of Hilaal on the wall.,3.0,Haider places a photo of Hilaal on the wall.,1
Haider,Haider,male,"the dark bedroom. Haider watches it silently, Arshia sitting",occupation_gap,"Haider and Arshia sit in the dark bedroom, silently observing each other.",3.0,"Haider and Arshia sit in the dark bedroom, silently observing each other.",1
Haider,Haider,male,An irritated look on Haider’s face.,occupation_gap,She had chosen a career in nursing,3.0,She had chosen a career in nursing,1
Haider,Ghazala,female,"Ghazala lies on the bed, her eyes closed. A knock on the",occupation_gap,"Ghazala is lying on the bed, her eyes closed. Suddenly, a knock on the door interrupts her thoughts.",3.0,"Ghazala is lying on the bed, her eyes closed. Suddenly, a knock on the door interrupts her thoughts.",1
Haider,Ghazala,female,Ghazala smiles through her dry lips.,emotional_typecast,Ghazala maintains a stoic expression despite her dry lips.,1.0,Ghazala maintains a stoic expression despite her dry lips.,3
Haider,Haider,male,The door opens. Khurram bows and steps aside. Haider,occupation_gap,Haider approaches the door. Khurram bows and steps aside.,3.0,Haider approaches the door. Khurram bows and steps aside.,1
Haider,Ghazala,female,Ghazala stops eating and looks at him.,agency_gap,"Ghazala looks at him, determined to make her voice heard.",3.0,"Ghazala looks at him, determined to make her voice heard.",1
Haider,Ghazala,female,Ghazala is in Haider’s room cleaning up. She gathers some,occupation_gap,"Ghazala is in Haider’s room, tidying up and organizing things.",3.0,"Ghazala is in Haider’s room, tidying up and organizing things.",1
Haider,Haider,male,"Haider, age sixteen, being scolded by Ghazala who is",occupation_gap,"Haider, age sixteen, is scolded by Ghazala, who is a strong and independent woman.",3.0,"Haider, age sixteen, is scolded by Ghazala, who is a strong and independent woman.",1
Haider,Haider,male,She slaps him hard. Haider is fuming. She holds him by his,agency_gap,Haider is fuming after she slaps him hard. She holds him by his arm.,3.0,Haider is fuming after she slaps him hard. She holds him by his arm.,1
Haider,Ghazala,female,Ghazala is shocked. Tears form in her eyes as Haider leaves,emotional_typecast,"Ghazala is surprised and hurt when Haider leaves, but she finds the strength to confront her feelings and stand up for herself.",1.0,"Ghazala is surprised and hurt when Haider leaves, but she finds the strength to confront her feelings and stand up for herself.",3
Haider,Haider,male,Haider is quiet. She unties the scarf from her head and puts,occupation_gap,Haider unties the scarf from her head and puts it aside.,3.0,Haider unties the scarf from her head and puts it aside.,1
Haider,Ghazala,female,He suddenly runs out of the house. Ghazala sees him running,occupation_gap,Ghazala sees him running out of the house.,3.0,Ghazala sees him running out of the house.,1
Haider,Ghazala,female,Ghazala rings the bell at the same bungalow which we have,occupation_gap,Ghazala rings the bell at the bungalow where we are,3.0,Ghazala rings the bell at the bungalow where we are,1
Haider,Hussain Meer,male,which reads as ‘Dr Hussain Meer’.,occupation_gap,"Dr. Hussain Meer, a brilliant scientist with a passion for discovering new technologies.",3.0,"Dr. Hussain Meer, a brilliant scientist with a passion for discovering new technologies.",1
Haider,Khurram,male,A young Khurram opens the door. Tears are still rolling off,relationship_only,"Khurram opens the door, wiping away tears.",2.0,"Khurram opens the door, wiping away tears.",2
Haider,Ghazala,female,"The gun is unwrapped from Ghazala’s scarf by an old man,",occupation_gap,Ghazala unwraps the gun from her scarf with the help of an old man.,3.0,Ghazala unwraps the gun from her scarf with the help of an old man.,1
Haider,Ghazala,female,Ghazala’s father-in-law Dr Hussain Meer. Ghazala is seated,relationship_only,"Ghazala is seated next to her father-in-law, Dr Hussain Meer.",2.0,"Ghazala is seated next to her father-in-law, Dr Hussain Meer.",2
Haider,Ghazala,female,Khurram turns and gives the cup to Ghazala.,occupation_gap,Khurram hands the cup to Ghazala.,3.0,Khurram hands the cup to Ghazala.,1
Haider,Hussain,male,Dr Hussain enters the room and looks at Ikhlaakh and,occupation_gap,Ikhlaakh enters the room and looks at Dr Hussain.,3.0,Ikhlaakh enters the room and looks at Dr Hussain.,1
Haider,Zahoor,male,Commander Zahoor… Good thing I ran in to,occupation_gap,"Commander Zahoor, I happened to come across",3.0,"Commander Zahoor, I happened to come across",1
